@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Feature-basic NUMERIC
@ATTRIBUTE Feature-constraints NUMERIC
@ATTRIBUTE Feature-tree NUMERIC
@ATTRIBUTE Feature-clause NUMERIC
@ATTRIBUTE Feature-dense NUMERIC
@ATTRIBUTE Feature-core NUMERIC
@ATTRIBUTE Feature-valid NUMERIC
@ATTRIBUTE Feature-cyclo NUMERIC
@ATTRIBUTE Satzilla-BASE NUMERIC
@ATTRIBUTE Satzilla-SP NUMERIC
@ATTRIBUTE Satzilla-DIA NUMERIC
@ATTRIBUTE Satzilla-CL NUMERIC
@ATTRIBUTE Satzilla-UNIT NUMERIC
@ATTRIBUTE Satzilla-LS NUMERIC
@ATTRIBUTE Satzilla-LOBJOIS NUMERIC
@ATTRIBUTE Satzilla-LP NUMERIC

@DATA
mcc2022/MC2022_track1-mc_private/mc2022_track1_112.dimacs,1,0.000000,0.009000,0.001000,0.007000,2.876000,3.043000,60.014000,60.000000,10.947000,0.550000,0.459000,5.158000,0.408000,5.205000,2.395000,60.000000
mcc2022/MC2022_track1-mc_private/mc2022_track1_114.dimacs,1,0.000000,0.003000,0.000000,0.002000,0.103000,0.004000,60.010000,3.291000,0.123000,?,0.121000,0.123000,?,60.000000,0.138000,0.121000
mcc2022/MC2022_track1-mc_private/mc2022_track1_116.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.005000,0.000000,60.009000,0.019000,0.021000,0.013000,0.006000,0.007000,0.004000,1.357000,0.722000,0.017000
mcc2022/MC2022_track1-mc_private/mc2022_track1_118.dimacs,1,0.000000,0.001000,0.000000,0.000000,0.033000,0.004000,60.007000,0.678000,0.022000,?,0.022000,0.024000,?,60.000000,0.039000,0.022000
mcc2022/MC2022_track1-mc_private/mc2022_track1_120.dimacs,1,0.000000,0.004000,0.000000,0.003000,0.422000,0.008000,24.737000,7.465000,0.123000,0.107000,0.110000,0.105000,0.103000,5.806000,2.108000,60.000000
mcc2022/MC2022_track1-mc_private/mc2022_track1_122.dimacs,1,0.000000,0.007000,0.000000,0.005000,0.870000,0.020000,60.010000,12.403000,0.257000,0.208000,0.209000,0.209000,0.212000,0.734000,0.685000,0.208000
mcc2022/MC2022_track1-mc_private/mc2022_track1_124.dimacs,1,0.000000,0.013000,0.000000,0.010000,24.356000,0.029000,60.016000,60.000000,21.993000,5.691000,3.537000,2.042000,6.220000,6.249000,3.942000,15.646000
mcc2022/MC2022_track1-mc_private/mc2022_track1_126.dimacs,1,0.000000,0.000000,0.000000,0.000000,1.174000,0.001000,60.008000,0.473000,0.374000,0.080000,0.036000,0.098000,0.034000,5.517000,2.025000,0.082000
mcc2022/MC2022_track1-mc_private/mc2022_track1_128.dimacs,1,0.000000,0.008000,0.000000,0.009000,0.469000,0.010000,60.010000,13.706000,0.247000,?,0.246000,0.246000,?,60.000000,0.263000,0.246000
mcc2022/MC2022_track1-mc_private/mc2022_track1_130.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.013000,0.001000,60.007000,0.045000,0.038000,0.015000,0.008000,0.010000,0.006000,2.311000,0.927000,0.034000
mcc2022/MC2022_track1-mc_private/mc2022_track1_132.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.065000,0.003000,47.294000,0.585000,0.363000,0.079000,0.054000,0.040000,0.062000,5.594000,2.039000,0.104000
mcc2022/MC2022_track1-mc_private/mc2022_track1_134.dimacs,1,0.002000,0.026000,0.004000,0.116000,8.346000,3.196000,60.038000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000
mcc2022/MC2022_track1-mc_private/mc2022_track1_136.dimacs,1,0.000000,0.009000,0.000000,0.005000,2.644000,2.631000,60.009000,17.149000,20.220000,0.600000,0.585000,0.214000,0.369000,5.126000,2.189000,2.152000
mcc2022/MC2022_track1-mc_private/mc2022_track1_138.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.027000,0.001000,60.006000,2.562000,0.454000,0.906000,0.034000,0.028000,0.029000,4.025000,2.036000,0.101000
mcc2022/MC2022_track1-mc_private/mc2022_track1_140.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.028000,0.000000,60.007000,2.528000,0.521000,0.303000,0.042000,0.037000,0.037000,3.551000,2.033000,0.121000
mcc2022/MC2022_track1-mc_private/mc2022_track1_142.dimacs,1,0.000000,0.006000,0.000000,0.020000,1.906000,0.327000,60.013000,18.715000,13.793000,0.689000,0.986000,0.481000,0.491000,5.611000,2.456000,60.000000
