@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Feature-basic NUMERIC
@ATTRIBUTE Feature-constraints NUMERIC
@ATTRIBUTE Feature-tree NUMERIC
@ATTRIBUTE Feature-clause NUMERIC
@ATTRIBUTE Feature-dense NUMERIC
@ATTRIBUTE Feature-core NUMERIC
@ATTRIBUTE Feature-valid NUMERIC
@ATTRIBUTE Feature-cyclo NUMERIC
@ATTRIBUTE Satzilla-BASE NUMERIC
@ATTRIBUTE Satzilla-SP NUMERIC
@ATTRIBUTE Satzilla-DIA NUMERIC
@ATTRIBUTE Satzilla-CL NUMERIC
@ATTRIBUTE Satzilla-UNIT NUMERIC
@ATTRIBUTE Satzilla-LS NUMERIC
@ATTRIBUTE Satzilla-LOBJOIS NUMERIC
@ATTRIBUTE Satzilla-LP NUMERIC

@DATA
mc2022_track1_079.dimacs,1,0.000000,0.001000,0.000000,0.001000,0.006000,0.048000,0.316000,0.594000,0.293000,?,0.290000,0.293000,?,60.000000,0.309000,0.292000
mc2022_track1_081.dimacs,1,0.000000,0.006000,0.000000,0.007000,0.240000,11.562000,9.940000,32.254000,20.236000,2.447000,0.509000,0.189000,0.179000,4.572000,2.152000,60.000000
mc2022_track1_083.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.008000,0.019000,60.008000,0.368000,0.032000,?,0.031000,0.032000,?,60.000000,0.048000,0.031000
mc2022_track1_085.dimacs,1,0.000000,0.001000,0.000000,0.001000,0.005000,0.040000,60.007000,0.831000,0.060000,?,0.060000,0.060000,?,60.000000,0.077000,0.060000
mc2022_track1_087.dimacs,1,0.000000,0.002000,0.000000,0.001000,0.017000,0.278000,0.404000,2.292000,0.549000,?,0.550000,0.550000,?,60.000000,0.564000,0.549000
mc2022_track1_089.dimacs,1,0.000000,0.001000,0.000000,0.001000,0.008000,0.012000,60.008000,2.646000,0.092000,?,0.093000,0.098000,?,60.000000,0.109000,0.092000
mc2022_track1_091.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.001000,60.000000,47.333000,0.563000,0.034000,0.026000,0.025000,3.182000,0.018000,5.656000,1.650000,1.360000
mc2022_track1_093.dimacs,1,0.000000,0.002000,0.000000,0.002000,0.011000,0.114000,0.802000,2.764000,0.071000,0.061000,0.060000,0.058000,0.056000,3.423000,1.999000,0.242000
mc2022_track1_095.dimacs,1,0.000000,0.006000,0.000000,0.005000,0.039000,60.000000,60.012000,60.000000,20.983000,2.154000,1.658000,5.759000,2.976000,5.072000,2.763000,8.839000
mc2022_track1_097.dimacs,1,0.000000,0.007000,0.000000,0.006000,0.038000,60.000000,60.015000,60.000000,20.801000,2.041000,1.649000,5.757000,2.631000,5.075000,2.749000,8.553000
